,title,date,company,location,salary,description
11,graduate project and software support analyst,8 Feb 2021,Profectus Australia Pty ltd,Melbourne,50000.0," ,due to continued growth and success, we are looking for great people who enjoy dealing with customers and data.,profectus group is an international technology and services company that provides niche technology designed to create transaction certainty and help businesses make better decisions. these technologies help automate the compliance of payments for asx100 companies and selected international leading brands.  ,as an analyst, you will be working within a wider team of analysts, software developers and experienced managers, in the project and software support role across a variety of industries including fmcg and retail. you will be responsible for providing professional, quality customer support in our purpose built web-based systems.,if this sounds like you and you would like more information on the role, please apply today by sending through a copy of your ,and , outlining why we should select you."
12,energy (economics) data analyst,4 Feb 2021,EGM Partners,Adelaide,50000.0,"our client is a major player in the energy industry. the industry is ever changing and they are always looking at new ways to improve their data driven decision making approach. due to continued growth an opportunity has arisen and they are looking for someone to join their energy markets team as a data analyst to help build out their modelling and data capabilities. the role requires a sound understanding of energy markets and market fundamentals.,for a confidential discussion please contact bec mckenzie or mark johnson in our adelaide office., , "
13,junior data analyst/administrator,1 Feb 2021,PM-Partners Group,Sydney,50000.0,"pm-partners is currently seeking a , with , working with large volumes of data to work for an exciting startup based in north sydney. as a new addition to the existing team, you'll be assisting sorting through large amounts of client data on excel and jira and uploading it into their new cloud based database.,this is an initial contract through to the end of july with potential for further opportunity for the right candidate. this role is 50/50 work from home and based in the office., "
14,data warehouse analyst,5 Feb 2021,TEKsystems,Sydney,50000.0," ,the role of the data warehouse analyst is to analyse, test and validate data, determine data specifications and coordinate and control information acquisition and management within data warehouses to ensure the accuracy and completeness of corporate data., "
15,analyst programmer - graduate,15 Feb 2021,Pulse Mining Systems Pty Ltd,"Newcastle, Maitland & Hunter",50000.0,"pulse is looking for a graduate developer to join our growing team of professionals engaged in client interaction, product direction, and design of the world’s leading mine business management solution, pulse mining erp.,in this role, the successful candidate will engage with technologies such as web components, progressive web apps (pwa), google polymer, javascript, node.js, progress, java, c#, office, and more.,even the most experienced developers in this position will have the opportunity to expand and improve their skill-sets in many advanced areas. you will be encouraged to undertake training or otherwise work on your professional development during normal business hours. you will have a modern workstation with a reasonable budget for workstation customisation and purchasing the peripherals you require.,an attractive and highly competitive remuneration package will be offered based on the successful candidate’s skills, qualifications, and experience.,pulse mining systems is the world-leading developer of technology for managing the business of mining. founded in 1986, and based in the hunter valley nsw, the company’s systems and solutions are used in many different countries across a wide range of mining operations and resources types.,pulse mining erp is the complete mine management system with six fully-integrated or standalone modules. pulse analytics is the groundbreaking suite of agnostic bi dashboards used in mining and other industries. ongoing enhancements to existing systems and frequent new product releases are fulfilling the company’s vision to develop, improve, and evolve its world-class software, analytics, and mobility.,the pulse team is growing due to new client acquisitions, increased scope and scale for existing clients, continuing new development and modernisation projects, and rapid technological advancements.,pulse offers the opportunity to build a long and successful career, with pathways to career progression available. located in a purpose-built facility at the end of the m1 freeway, thornton, our offices and development environments are professional yet laid-back. a range of branded workwear is provided for business-casual dress. schedules are flexible within reason, and employees can have the option of working remotely on occasion.,the ideal candidate will be working with large-scale technical projects, custom web application development, and report development. you will need to possess excellent skills in problem-solving, communication, solution and ui-design. you will be motivated and enjoy challenges.,submit your cv (word/pdf) and references by email to , with the subject line:,all applications will be treated in confidence.,recruitment agencies do not apply."
16,senior data analyst,9 Feb 2021,Talent Resources Consulting,Sydney,50000.0,"you will have the opportunity to work with one of the largest companies in australia based in sydney/melbourne. you will be challenged to take responsibility for analysing master and reference data sets, understand the data lineage, identify data quality issues and summarise data for business and management understanding. to do well in this role you need a very fine eye for detail, experience as a senior data analyst and deep understanding of the popular data analysis tools and databases. the role will also encapsulate extensive knowledge and experience in data profiling, analysis, mapping and migration design using industry leading etl tools.,skills and experience,skills-,qualification-"
17,analyst,14 Feb 2021,Peoplebank Australia ACT,ACT,50000.0,"the dta has oversight of the government's portfolio of ict and digital projects. as part of this role we drive the strategic planning & coordination of digital & ict at the whole of government level through effective governance, engagement & investment prioritisation., ,we need an analyst to identify needs, challenge assumptions, break down problems, consider available evidence, and present well-reasoned options for consideration through a policy lens. you'll engage, communicate, and coordinate broadly with our stakeholder group, including senior executives, and analyse data holdings and develop business intelligence along with visualisations for briefings, reports and publications. you will need to work in an agile environment in a multi-disciplinary team and have advanced skills in excel and powerpoint. ideally, you will also be familiar with using powerbi for data visualisation. you will need to demonstrate your understanding of the role of government in delivering the digital transformation agenda and have experience in a policy environment.,for more information or a confidential discussion, please contact , on , quoting reference , , to apply please click the 'apply now' button., "
18,data & research analyst / consultant,9 Feb 2021,Amida,Sydney,50000.0,"our client is looking for an experienced ,to join their innovative team based in their sydney offices.,you will be responsible for collecting and analysing data as requested by stakeholders, work closely with teams to assemble and interpret the data, and responsible for creating corresponding documentation to reflect the results. candidate will need excellent communication and time management skillsets.,candidates can come from the resources sector, construction sector or really any corporate sector background. experience with sap is desirable, especially with purchase orders and purchase requisitions, knowledge of arbia is ideal but not essential.,this is a contract role with the potential to extend.,this is a contract full time position providing a great opportunity to work with an established organisation who offer challenging work.,if you have the skills and experience that we are looking for, click ""apply"" to submit your resume."
19,data analyst & policy writer,2 Feb 2021,Council of Ambulance Authorities,Adelaide,50000.0," is looking for a highly motivated , to work on the development of reports and provide advice on strategies to improve caa reporting. this work will include consultation with stake holders of all levels and the development of data dictionaries and other reference material to support the use of data and information.,we’re looking for someone who has a high-level of knowledge and proven experience in developing reports using business intelligence software. you will have data and quantitative analysis skills, policy and report writing experience, superior accuracy and attention to detail, great time management and organisational skills.,$50,000/year + super,brooklyn park, sa,please forward your resume and cover letter and press , "
20,retail & shopper data analyst,2 Feb 2021,Resources Group,Melbourne,80000.0," , ,work with this , as they partner with one of australia’s biggest retailers to put customer data at the heart of the decision-making process., ,this specialist predictive analytics, consumer and shopper insights agency allows their clients to know their customers like never before! unmatched in the use of big data technology, their unique ability to combine client’s internal data with market pos, loyalty data and shopper insights gives them an unrivalled position., , , , , , , ,this particular role is for consultant who enjoys solving data challenges with smart technology., , , , ,able to on-board people immediately, with the systems and processes in place to fully support you working remotely this role is available now – don’t delay! apply today!, ,to apply please send your cv to rowan haylett on , or call rowan on , to discuss things further., "
21,graduate analyst,12 Feb 2021,The Pastoral Pork Company Pty Ltd,South West Coast VIC,50000.0,"the pastoral pork company is a leading, vertically integrated outdoor bred pork producer supplying premium branded product under the ,we are currently seeking a full-time analyst to join our team in geelong. the successful candidate will need to have a positive attitude, strong knowledge in financials and be able to work within small teams of employees., , ,please forward your cover letter and resume to , "
22,graduate analyst,5 Feb 2021,Novigi Pty Ltd,"Wollongong, Illawarra & South Coast",52800.0,"at novigi, data and interoperability are at the core of what we do. we believe that by leveraging the vast troves of data that they now have access to, and by ensuring that all their systems are interoperable, the modern organisation can dramatically improve their products and services offerings, and unlock tangible benefits in efficiency, risk management and innovation.,you will work as part of a team that is responsible for investigating and analysing business and technology systems and processes at a diverse range of organisations. as part of this team, you will:,some specific examples of the types of work you may be involved in include:,you will work as part of novigi’s analyst squad and report to the analyst squad lead. you will participate in the provision of both advisory and technical services to our clients in the financial services and aged care sectors.,analysts will typically work closely with the advisory services team and the technical services team. the advisory services team provides consulting services to novigi’s clients, and is instrumental in framing the problem statement with our clients, and specifying tailored technical solutions. the technical services team is responsible for the implementation and delivery of technology solutions, primarily in data and interoperability.,novigi is currently looking to recruit graduate-level analysts, starting on a casual basis with a view to becoming full time permanent over time.,the following disciplines are preferred but applicants from all backgrounds are encouraged to apply:,you have a basic understanding of programming or are willing to learn. the following languages are preferred, but not required:,you have an interest in data driven problem solving, including:,you have a strong understanding of technology. knowledge in the following areas is a plus:,soft skills will also include:,we’re looking for the graduate analysts to work 5 days a week. work location is also flexible, but preferred if able to work at the novigi wollongong office at least 2-3 days per week., if you don’t meet every criteria in this list, but think you’d be great for the role, please don’t hesitate to apply.,address applications to:,melissa fuller,partner, head of corporate services"
23,business analyst - bi data warehouse - defence ,10 Feb 2021,Oceans Group,ACT,50000.0," business analyst - bi dwh: defence, canberra act (unfortunately no remote working access), 6 month contract (high chance of extension), baseline or higher,please only apply if you're currently based in australia due to international covid related border closures. , , this role will be suitable for a hybrid ba (functional / technical) as there's a large stakeholder component with elements of technical understanding such as business intelligence data warehousing., , , , , , , , , ,apply via the link below or contact , on , for more information"
24,data migration analyst (junior),28 Jan 2021,Transparency IT Consultants,Perth,77500.0,"you will need to be able to use sql queries to extract data, clean it and then inject it into the new database. this might also be done through exporting of reports to csv and then importing the data that way. custom tools may need to be written to help automate the process depending on the client and the database they are migrating from. for this reason you will need to prove you have coding skills beyond sql in some other language, like python for example, to write custom scripts to aid automation in the data migration process.,to meet the requirements of this role, you will have most of the following:,if this has piqued your interest - apply now! ,the team @ transparency"
25,junior/mid/senior data analyst - multiple roles - immediate start,4 Feb 2021,Talent Resources Consulting,Sydney,50000.0,"about the role,you will have the opportunity to work with one of the largest companies in australia based in the sydney cbd/melbourne. you will be challenged to take responsibility for analysing master data set and troubleshooting data issues. to do well in this role you need a very fine eye for detail, experience as a data analyst, and deep understanding of the popular data analysis tools and databases. the role will also encapsulate extensive knowledge and experience in etl development using informatica,job description,skills and experience,skills-,qualification-"
26,research analyst,4 Feb 2021,McGregor Tan Research,Adelaide,50000.0,"mcgregor tan is south australia's most well known and trusted market and social researcher. for over 45 years we have built a reputation for trusted and insightful research and are committed to leading the future of market and social research in australia. ,we have an exciting role for a quantitative research analyst with 2-3 years of experience to help the insights manager across all aspects of project management, including client liaison, questionnaire design and a strong emphasis on analysing and reporting.,qualifications in business, data science, economics, psychology or marketing is preferable, although work experience in market research is valued strongly. ,to succeed in this role, you must have excellent excel and data visualisations skills, and be able to translate data into a narrative that speaks to our clients.,spss or q skills will ensure you will hit the ground running, but can be taught to the right person.,the core attribute of an analyst is to be curious by nature, and be committed to learning and growing your career.,we are open to a part-time role if you are the right candidate, and have some flexible work from home arrangements in place.,we are a family-owned business here in sa with a national outlook, we are hard-working but respect a positive work-life balance.  we are impacting on large social policies across australia, and the work we do informs business and policy decisions each day."
27,master data & billing analyst,5 Feb 2021,LiveTiles,Melbourne,59999.5,"livetiles is a hyper-growth saas company founded in australia, headquartered in new york, with teams across the us, apac and emea regions.,livetiles is the complete intelligent experience platform. we believe that the world is a better place when humans are free to do their best work, so we focus on smart solutions that enable people to focus on the work that matters most. empowering companies to emerge and integrate disparate business apps, resources, and files through office 365 and azure by combining ai and intelligence.,our team is underpinned by 3 core values; we are decent human beings, we get sh!t done and we create unforgettable experiences.,we recently celebrated the merger of livetiles, wizdom, and hyperfish in the only way we know-how… a rock concept at microsoft inspire in las vegas! queen was the only other show in town.,https://www.youtube.com/channel/uck7ghlwrqc9vxtekj1qnalw [link removed], ,the challenge , ,reporting into the finance manager and partnering closely with the apac & americas finance and sales teams, your responsibilities will include the following: , ,administer customer master data (manage accuracy of crm, update subscription dates, update subscription values)  ,process billing (raise invoices, credit notes, send invoices to customers) and match to customer sales records  ,accounts receivable collection and reconciliations (manage debtors ledger, chase overdue payments, aged debtors reporting)  ,customer/vendor/supplier liaison. ,administer vendor master data (manage accuracy of vendor/supplier data in accounting system, add new vendors/suppliers, update vendor/supplier information.  ,process purchase orders and procurement requests.  ,assist with accounting reconciliations and reporting. ,identify and implement process improvements in the billing function  , ,the expertise ,please consider expressing interest in this position if you possess the following: , ,have held similar positions for 2-5 years; ,high attention to detail; ,ability to work autonomously and manage your own priorities and outcomes;  ,proficiency in xero (required) and quickbooks (a benefit);  ,experience working within a software / software-as-a-service business’ a benefit; ,experience with salesforce also a benefit. , ,candidate sought either for melbourne office or remote working. position permanent full time, 5 days a week. "
28,data analyst,26 Jan 2021,MADEC Employment and Training,Mildura & Murray,50000.0,"we are seeking a data analyst who is up for the challenge of working with high volumes of data in a fast paced environment and contributing to process improvement within the team.,supporting our labour hire and seasonal worker payroll teams, the responsibilities of this varied role include:,there are a number of legislative, compliance and business needs which must be met, however we want you to use your knowledge of excel and systems, along with your problem solving skills, to find the best ways to continue providing a quality service to our host employers and employees.,you are a go-getter with a positive and approachable manner, looking to commit to your next role and contribute to our growing organisation. you use your advanced computer skills, particularly in excel, and analytical mindset to transform data into clear, accurate information and you can communicate with all stakeholders in a pleasant and concise manner. your confidence in building reports and using systems to create efficiencies within the team will be the key to your success. experience in a payroll, accounting or human resources environment will be highly regarded, however is not essential.,a police check is required on commencement.,madec is both values based and kpi driven; it is this unique combination that makes us highly effective and lead providers in what we do, it also makes madec a great place to work. as a not-for-profit organisation, we offer salary packaging to the value of $15,900 per annum, and tax free entertainment expenses. ,please contact kylie dew, finance manager on , or email "
29,junior business analyst healthcare consultancy,12 Feb 2021,Hoxton MPM,Melbourne,72499.5,"working solely within the medical industry, our business consultancy focuses on improving private medical practice businesses throughout australia. our practice management consultancy is part of a larger suite of services offered by hoxton mpm to small, medium and large medical practices. ,we are looking for an early career business analyst to join our consulting team for an immediate start.  this opportunity is based in the south-east of melbourne working in a growing team with a broad base of clients.  ,the ideal candidate will be a focused team player with a desire to work, is self-motivated to achieve results and is interested in career development within the our business.  ,this is an opportunity for the right candidate to develop their skill-set and interests, under the guidance of senior consultants. you will learn the hoxton approach to gap analysis, financial improvement, system optimisation and business process improvement. in this role you will utilise a broad range of skills to assist with medical practice management, hr processes, change management and business analysis reporting.,we offer a clear pathway for career progression and will provide opportunities to take-on more complex and challenging work, in a more senior role.,our current requirements are for 3 days per week, part-time work. our short term expectation is that these hours will increase to 4 or 5 days per week according to opportunity.,please note: you must be an australian citizen or australian resident to apply for this position. we highly regard independent thinking and a positive collaborative approach to team work. experience within the medical field is not a pre-requesite for the role."
30,graduate business analyst ,12 Feb 2021,Skout Solutions Pty Ltd,Perth,50000.0,"ventia is an operations, maintenance and construction services organisation, operating globally in the resources, energy, industrial, infrastructure, rail, property and defence sectors. this is a diverse and growing business offering the training, opportunities and support you need to begin and build a successful career., ,ventia are currently looking to engage a business analyst graduate to assist with the day to day operations of our defence base services contract. initially, you'll be engaged as a temporary contractor, with the view to permanency in 2021., , , , ,if you enjoy a challenge and would like to be part of our dynamic, growing and exciting company, then please press ""apply now"", "
31,data analyst,31 Jan 2021,Spinifex Recruiting,Sydney,50000.0," , this role provides metering data services on a commercial basis to networks, retailers and the national electricity market. provide estimations and substitutions for all metering types and commission metering installations. analysis of routine meter configuration, readings and issues to identify causes, resolutions, system enhancements and process improvements. ensure timely and accurate delivery of metering data and analyse incorrect data issues to determine the cause., , , , * process analytical, innovative problem solving techniques in regards to data integrity and purification, , * demonstrated data entry knowledge of electricty market (preferable),* entering customer account data within time limits, , * identify and correct anomalies found in customer and metering data within metering data bases,* eneering data into database software and checking to ensure accuracy of data that has been inputted, , * resolve standard customer enquiries/data enquiries; ensuring a high level of customer satisfaction by the timely and accurate reply to all requests,* attention to detail , , , , * proficient in the use of personal computer (pc) applications, , * effective interpersonal, communication and negotiation skills, both oral and written, , * good analytical and problem skills, , position is based in silverwater, undercover parking provided, 8 hour day with 1/2 hour lunch break. flexible with start times 6am to 9am., , police check is mandatory for onboarding process.,candidates applying must be a resident within sydney metro area.,forward your resume to the link provided asap."
32,geospatial analyst,10 Feb 2021,Aethon Aerial Solutions,Brisbane,50000.0,"aethon aerial solutions australia provide aerial surveying to energy companies throughout australia and new zealand. we are currently seeking a casual geospatial analyst to join our production team based in paddington. ,aethon pride ourselves on our unique technologies and collaborative approach in achieving results. along with the responsibilities and skills listed below the successful candidate will be friendly, approachable and keen on maintaining our existing office culture. , ,technical skills:,soft skills:,qualifications:,applicants must have working rights in australia.,please submit a cover letter and resume by pressing apply now."
33,reporting and data analyst -> commercial finance focus.,3 Feb 2021,Noble People,Melbourne,67500.0,"this well-known peak body is responsible for an industry that generates billions of dollars of economic revenue, as well as employment for over 100,000 australians. a truly national body, they work right across the country, with their influence contributing to regional areas as much as major cities.,growth and a need to increase the accuracy and effectiveness of commercial decisions has led to the creation of this finance focused analyst role. working closely with the finance manager and cfo, you will provide regular and ad-hoc financial insights and analysis that result in a commercial impact on the industry and organisation as whole.,in this varied and hands-on role, you will:, ,with an inquisitive mind and a constant business process improvement focus, you will need a core base of accounting experience or sound commerce background to ensure you understand the strategy, intent and financial implications of the information and analysis that you produce. this experience will be supported by strong excel skills, clear and confident communication skills, and an enthusiastic and challenging mindset backed up by a highly analytical approach.,salary shall be around $65 - $70k + super "
34,clinical data analyst spine & scoliosis research ,1 Feb 2021,Melbourne Orthopaedic Group,Melbourne,50000.0,"the clinical data analyst is responsible for internal and outsourced data input and management of clinical research data; as well as, high-powered analysis of said data for potential publication in peer-reviewed journals. the successful applicant will be working for a startup not-for-profit research organization in the field of spinal surgery.,duties include collaborating with principal investigator, researchers, and multi-national study groups and registries according to specific study procedures. the successful applicant will be responsible for design, maintenance, and query of databases containing clinical, radiographic, and health related quality of life data, with the view to expand the research contribution to multiple centres in australia. prior experience with genie solutions practice software is preferred, but not mandatory. ,bachelor’s degree and two years of related experience in data analysis. strong statistical background and experience with machine learning and/or data mining methods. familiarity with clinical information and data sources, including diagnostic coding, electronic medical records, and clinical databases. mastery of standard query language, access, excel; as well as, a high-power statistical software tool/language such as r, spss, or python. proven ability to work independently on complex projects, working with professionals with a variety of skills and backgrounds. excellent written and oral communication skills, including record of successful presentation of analytic findings.,master’s degree in pertinent field (biostatistics; engineering; epidemiology; data science; or similar field). proficiency with spss. familiarity with radiographic data and dicom images.,work with pertinent practices, study groups and registries accordingly for       each study to acquire and transform data into information to support               research initiatives within the organization., offer alternatives to current research methodology, including appropriate          methods of analysis for the current subject matter., develop internal analysis routines and quality procedures to assess               similar types of concerns for potential research projects.,  maintain homogeneous quality standards across databases and                      equivalent clinically relevant metrics when possible., collaborate with surgical residents and physicians in the coordination            and completion of quality related research projects.,  collaborate with researchers in the coordination and completion of quality       related research projects.,   assist in/carry out writing and redaction of “methods and materials”                 section of department research projects.,  transform information in dicom images.,    assist in maintaining quality standards for data usage and analysis., perform duties as assigned., , "
35,sales & support / data analyst intern (mandarin speaking),3 Feb 2021,GO Markets,Sydney,43190.399999999994,"we are an awarding-winning online fx & cfd trading company based in melbourne and sydney cbd, looking for a mandarin-speaking intern to join our sydney team.,a new opportunity has arisen for final year student or recent graduate who is keen to secure paid work experience. the business is open to tailoring the hours around the successful candidate and their studies but is looking for someone to be working the equivalent of 2-3 days a week. ,the successful candidate will be proactive and willing to help with all tasks, be able to communicate clearly in both english and mandarin, and have a pleasing personality. ,this role will support a variety of functions within the sales & support team including:,the successful candidate will have the opportunity to grow into a full-time or part-time role.,it is a great opportunity to learn and get a kick start to your career!,if you are interested and meet the above criteria, please provide a copy of your resume/cv for our consideration.  full training will be provided to the successful candidates."
